sample,x_input,y_output
       1013, 16284, 14786
       1014, 16154, 14786
       1015, 15970, 14786
       1016, 15732, 14786
       1017, 15443, 14374
       1018, 15103, 14374
       1019, 14712, 13956
       1020, 14273, 13532
       1021, 13786, 13103
       1022, 13254, 12669
       1023, 12678, 12229
       1024, 12059, 11784
       1025, 11401, 11334
       1026, 10705, 10879
       1027,  9973,  9955
       1028,  9208,  9486
       1029,  8413,  8536
       1030,  7590,  8055
       1031,  6742,  7082
       1032,  5871,  6590
       1033,  4981,  5598
       1034,  4074,  4595
       1035,  3154,  3583
       1036,  2223,  3074
       1037,  1285,  2053
       1038,   343,  1027
       1039,  -600,     0
       1040, -1541,  -513
       1041, -2478, -1540
       1042, -3406, -2053
       1043, -4323, -3074
       1044, -5225, -4090
       1045, -6110, -5098
       1046, -6975, -5598
       1047, -7817, -6590
       1048, -8633, -7570
       1049, -9420, -8055
       1050,-10176, -9013
       1051,-10898, -9486
       1052,-11584,-10419
       1053,-12232,-10879
       1054,-12839,-11334
       1055,-13404,-12229
       1056,-13924,-12669
       1057,-14398,-13103
       1058,-14824,-13532
       1059,-15201,-13532
       1060,-15527,-13956
       1061,-15802,-14374
       1062,-16025,-14374
       1063,-16194,-14786
       1064,-16310,-14786
       1065,-16372,-14786
       1066,-16379,-14786
       1067,-16332,-14786
       1068,-16231,-14786
       1069,-16077,-14786
       1070,-15868,-14786
       1071,-15607,-14374
       1072,-15295,-14374
       1073,-14931,-13956
       1074,-14519,-13956
       1075,-14058,-13532
       1076,-13550,-13103
       1077,-12997,-12669
       1078,-12402,-12229
       1079,-11765,-11784
       1080,-11089,-10879
       1081,-10376,-10419
       1082, -9629, -9955
       1083, -8851, -9013
       1084, -8042, -8536
       1085, -7207, -7570
       1086, -6348, -7082
       1087, -5468, -6096
       1088, -4570, -5098
       1089, -3657, -4090
       1090, -2732, -3583
       1091, -1797, -2564
       1092,  -857, -1540
       1093,    85,  -513
       1094,  1028,     0
       1095,  1968,  1027
       1096,  2901,  1540
       1097,  3824,  2564
       1098,  4735,  3583
       1099,  5630,  4595
       1100,  6506,  5098
       1101,  7361,  6096
       1102,  8191,  7082
       1103,  8994,  7570
       1104,  9768,  8536
       1105, 10509,  9486
       1106, 11215,  9955
       1107, 11884, 10419
       1108, 12513, 11334
       1109, 13101, 11784
       1110, 13646, 12229
       1111, 14145, 12669
       1112, 14597, 13103
       1113, 15001, 13532
       1114, 15355, 13956
       1115, 15659, 13956
       1116, 15910, 14374
       1117, 16109, 14786
       1118, 16254, 14786
       1119, 16345, 14786
       1120, 16382, 14786
       1121, 16365, 14786
       1122, 16293, 14786
       1123, 16168, 14786
       1124, 15988, 14786
       1125, 15756, 14786
       1126, 15472, 14374
       1127, 15136, 14374
       1128, 14750, 13956
       1129, 14315, 13532
       1130, 13833, 13103
       1131, 13304, 13103
       1132, 12732, 12229
       1133, 12117, 11784
       1134, 11462, 11334
       1135, 10770, 10879
       1136, 10041, 10419
       1137,  9279,  9486
       1138,  8487,  9013
       1139,  7666,  8055
       1140,  6820,  7082
       1141,  5951,  6590
       1142,  5062,  5598
       1143,  4157,  4595
       1144,  3238,  4090
       1145,  2308,  3074
       1146,  1370,  2053
       1147,   428,  1027
       1148,  -514,     0
       1149, -1456,  -513
       1150, -2393, -1027
       1151, -3322, -2053
       1152, -4240, -3074
       1153, -5144, -4090
       1154, -6031, -5098
       1155, -6898, -5598
       1156, -7742, -6590
       1157, -8560, -7570
