sample,x_in,y_out,mode
2762, 31680, 29304,1
2763, 31368, 29200,1
2764, 30952, 29092,1
2765, 30433, 28982,1
2766, 29814, 28752,1
2767, 29095, 28509,1
2768, 28280, 28118,1
2769, 27371, 27840,1
2770, 26372, 27394,1
2771, 25284, 26911,1
2772, 24114, 26206,1
2773, 22863, 25427,1
2774, 21536, 24791,1
2775, 20138, 23626,1
2776, 18673, 22593,1
2777, 17146, 21468,1
2778, 15562, 19925,1
2779, 13927, 18228,1
2780, 12245, 16376,1
2781, 10523, 14374,1
2782,  8766, 12229,1
2783,  6980,  9955,1
2784,  5171,  7570,1
2785,  3344,  4595,1
2786,  1507,  2053,1
2787,  -335,     0,1
2788, -2176, -3074,1
2789, -4010, -5598,1
2790, -5831, -8536,1
2791, -7633,-10879,1
2792, -9409,-13103,1
2793,-11154,-15192,1
2794,-12862,-17135,1
2795,-14527,-18925,1
2796,-16144,-20560,1
2797,-17708,-21758,1
2798,-19213,-23121,1
2799,-20654,-24108,1
2800,-22027,-25008,1
2801,-23326,-25827,1
2802,-24549,-26389,1
2803,-25690,-27076,1
2804,-26745,-27546,1
2805,-27712,-27981,1
2806,-28587,-28252,1
2807,-29368,-28632,1
2808,-30051,-28869,1
2809,-30634,-28982,1
2810,-31115,-29200,1
2811,-31494,-29304,1
2812,-31768,-29405,1
2813,-31936,-29405,1
2814,-31999,-29405,1
2815,-31956,-29405,1
2816,-31806,-29405,1
2817,-31551,-29304,1
2818,-31192,-29200,1
2819,-30729,-29092,1
2820,-30164,-28869,1
2821,-29499,-28632,1
2822,-28736,-28382,1
2823,-27878,-27981,1
2824,-26928,-27546,1
2825,-25888,-27076,1
2826,-24762,-26568,1
